source_image_id,design,kind,depth_um,expected_photons,replicate,panoptic_quality,segmentation_quality,recognition_quality,true_positives,false_positives,false_negatives,predicted_count,target_count,absolute_count_error,percentage_count_error,foreground_dice
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,50,1,0.5443326685051584,0.8116388896460843,0.6706586826347305,56,41,14,97,70,27,0.38571428571428573,0.8496219931271478
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,50,2,0.5594210775927465,0.8005508524172062,0.6987951807228916,58,38,12,96,70,26,0.37142857142857144,0.8443100050414776
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,50,3,0.5265839035204033,0.819130516587294,0.6428571428571429,54,44,16,98,70,28,0.4,0.8526186281062033
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,200,0,0.5625192241852153,0.8289756987992646,0.6785714285714286,57,41,13,98,70,28,0.4,0.8637164076257561
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,200,1,0.5373545907847079,0.82522312156223,0.6511627906976745,56,46,14,102,70,32,0.45714285714285713,0.8711753398220541
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,200,2,0.5616658127516798,0.8277180398445807,0.6785714285714286,57,41,13,98,70,28,0.4,0.8655609905227759
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,-6.0,200,3,0.5414725403584411,0.8267125392972626,0.6549707602339181,56,45,14,101,70,31,0.44285714285714284,0.8711950908317638
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,50,0,0.5356266002440137,0.7940429424670027,0.6745562130177515,57,42,13,99,70,29,0.4142857142857143,0.8507991818801606
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,50,1,0.5708244850438519,0.8070277202344113,0.7073170731707317,58,36,12,94,70,24,0.34285714285714286,0.8623317362537075
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,50,2,0.5440920600304909,0.7973762948722711,0.6823529411764706,58,42,12,100,70,30,0.42857142857142855,0.8613348373754465
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,50,3,0.5556875894040055,0.8091591214128502,0.6867469879518072,57,39,13,96,70,26,0.37142857142857144,0.8548264427610964
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,200,0,0.5415102831277295,0.821935251176018,0.6588235294117647,56,44,14,100,70,30,0.42857142857142855,0.8702500191146112
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,200,1,0.5461198806113898,0.8289319616422881,0.6588235294117647,56,44,14,100,70,30,0.42857142857142855,0.8750816435026961
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,200,2,0.5520373595563798,0.8232136063560049,0.6705882352941176,57,43,13,100,70,30,0.42857142857142855,0.8736721786176941
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637,surrogate,poisson,6.0,200,3,0.5552610801198786,0.8280209089506961,0.6705882352941176,57,43,13,100,70,30,0.42857142857142855,0.8677322143810795
IXMtest_A12_s7_w1EAEEA614-51ED-43B3-A4FF-088730911E4C,clear,deterministic,-6.0,100,-1,0.11423992673992675,0.7996794871794872,0.14285714285714285,1,2,10,3,11,8,0.7272727272727273,0.150443211001574
